id_str,created_at,user_id_str,conversation_id_str,TEXT,LABEL
1598846946726547458,Sat Dec 03 01:09:51 +0000 2022,710394355115286528,1598490106285150208,aku yg baru 2x main ke bandung naik kereta terheran2 dengan parahyangan bisnis ada 3 kemungkinan 1 belum pernah naik kereta 2 dan kl naik kereta aja ga pnh pastiny ga puny aplikasi kaiaccess 3 malas baca pinginnya cepat mangap,
1872846054749815224,Sat Dec 28 03:24:29 +0000 2024,178230025,1872845143210099058,cek kaiaccess dulu,
1871622068237930508,Tue Dec 24 18:20:48 +0000 2024,116428656,1871345142214676789,selamat pagi min untuk pembelian tiket ka dhoho via kaiaccess apakah ada gangguan terima kasih,
1870805854179746091,Sun Dec 22 12:17:28 +0000 2024,1611513806970290176,1870805854179746091,tadi siang iseng ngecek menu lewat kaiaccess pas di ka sancaka hahahahhaha nda jadi pesen,
1870387561027543483,Sat Dec 21 08:35:19 +0000 2024,1382826519744049155,1870387561027543483,grogi taaah sampe lupa password kaiaccess deuh,
1870317921836450049,Sat Dec 21 03:58:36 +0000 2024,1321002256708161537,1870317921836450049,wtb 2 tiket kai kereta lokal cikarang karawang jam 13 20 plis bayar dua kali lipat gapapaa zonauang kereta kaiaccess,
1870317642973941871,Sat Dec 21 03:57:29 +0000 2024,1321002256708161537,1870317642973941871,wts 2 tiket kereta kai lokal cikarang karawang walahar 11 30 21 desember 2024 kai kaiaccess kereta,
1869973209833185607,Fri Dec 20 05:08:50 +0000 2024,1134294052696813568,1869972604699980037,kayak tetep aja khawatir kayak aku td salah masuk gerbong ga ya atau kadang deg2an tiap org lalu lalang merhatiin kursi kita padahal aslinya kita dah bener tp mereka ngira itu kursi mereka dan mungkin bisa menghindari dari perdebatan yang bbrp kali jg terjadi d kaiaccess,
1869154591155315155,Tue Dec 17 22:55:56 +0000 2024,414556845,1869154591155315155,halo min saya mengalami kendala saat login akun kaiaccess muncul keterangan akun sedang digunakan di perangkat lain sedangkan saya hanya login di 1 perangkat saja dan tidak pernah sama sekali login di perangkat lain,
1867981302743568767,Sat Dec 14 17:13:42 +0000 2024,1058551290177835008,1867981302743568767,eh tai kaiaccess error2nya pas jam war gini ya allah gimana gw balik minggu depaaannnn,
1867800648579989590,Sat Dec 14 05:15:51 +0000 2024,1850503285805051906,1867797710356820086,oalaah trs itu pesennya di kaiaccess jg kah,
1867668474736390305,Fri Dec 13 20:30:38 +0000 2024,1390618561777864713,1867546875534168494,lewat aplikasi kaiaccess,
1867170022000586878,Thu Dec 12 11:29:58 +0000 2024,1334376774981931009,1867164108786909422,coba dm twt kaiaccess langsung aja,
1867086685609267621,Thu Dec 12 05:58:49 +0000 2024,574574203,1867086685609267621,beli tiketnya berhasil tapi kaiaccess dan livin adalah kombo bau payment aku yg 99rb masih nyangkut belum balik 3kali payment pertama udah refund kedua nyangkut tiga kalinya berhasil,
1867044828686819624,Thu Dec 12 03:12:29 +0000 2024,1068438322899349504,1867044824786108920,saya telah melakukan pelaporan melalui telepon tapi sampai sekarang sudah 2 minggu lebih uang saya tidak kembali2 setiap saya wa jawabnnya tetap sama sedang dalam proses mohon tuntaskan masalah ini kaiaccess kai121,
1866461558022480278,Tue Dec 10 12:34:47 +0000 2024,1429829255626559492,1866461558022480278,ada yg butuh tiket ka sritanjung tujuan lempuyangan besok rabu 11 des 2024 sayang kalau kecancel refund siapatau ada yg butuh bisa lgsg pc ya trims zonauang zonaba kaiaccess tiketkereta transfertiket,
1864522130207199369,Thu Dec 05 04:08:11 +0000 2024,98555083,1864522130207199369,5 nov 24 sy beli tiket krl rute st karet bekasi via apk kaiaccess tp setelah saldo kepotong tiket gak pernah nongol,
1859289924408836191,Wed Nov 20 17:37:16 +0000 2024,1466026498817679368,1859289924408836191,min akun kaiaccess sy menggunakan nik ibu kalau saya mau membatalkan perjalanan saya ga bisa ya ga bisa batalkan melalui aplikasi kalau atas namanya bukan pemilik akun apakah ada solusi lain,
1858501062686359759,Mon Nov 18 13:22:37 +0000 2024,101914451,1858501062686359759,udah lama ga compare harga tiket kereta jarak jauh lintas platform krn udh pelanggan setia via kaiaccess dengan harga normal si tiket paling mahal ye krn ada biaya jasa segala selain 7 5k klo apps laen cuma plus 7 5k kalo kai access ya g ada 7 5k nya hehe,
1856726118071685295,Wed Nov 13 15:49:37 +0000 2024,97427261,1856726118071685295,gak ada diskon tiket kereta kah ini sering beli tp gapernah dpt voucher atau apa kek lewat kaiaccess,
1854859068718170389,Fri Nov 08 12:10:38 +0000 2024,785128426948534272,1854859068718170389,min tlg tanya tiap saya mau belk tiket di kaiaccess kok selalu dibilang belum upgrade ke member basic dan berulang kali sudah upgrade tp kok gitu terus ini salahnya di mana ya,
1854529795549544942,Thu Nov 07 14:22:13 +0000 2024,1083418277525606400,1854529795549544942,yg butuh tiket kereta ke sby di hari minggu tgl 10 atau dari sby ke malang untuk hari senin tgl 11 boleh reply yaa zonauang tiketkereta kaiaccess kai,
1854049783566184935,Wed Nov 06 06:34:49 +0000 2024,2485381298,1854049783566184935,ada issue apa ya daritadi sy pesan kereta di tiketdotcom dan kaiaccess muter2 terus,
1853975022450459117,Wed Nov 06 01:37:45 +0000 2024,1692140561170636801,1853972794348068904,pake aplikasi kaiaccess aja yaan gaperlu pake ktp juga cuma scan qr,
1853386697117176096,Mon Nov 04 10:39:57 +0000 2024,619021304,1853360824523559008,download kaiaccess aja nanti masukin kode booking h 2 jam klik cetak e boarding pas depan petugas tunjukin qrcodenya aja gaperlu cetak manual biar dapet tiket kertas lebih simple,
1853273841180782946,Mon Nov 04 03:11:30 +0000 2024,198000772,1853273841180782946,ekinet sama smartex buatku yang buta kanji aja bisa kilat beli di kaiaccess susah banget pembayaran gabisa bisa aplikasi lemot sangat memancing emosi,
1852354569248092252,Fri Nov 01 14:18:39 +0000 2024,36550982,1852354569248092252,beli tiket pakai aplikasi kaiaccess itu proses refundnya ternyata ribet sedunia kalau beli tiketnya atas nama orang lain terus jangan pernah beli tiket via kai access kalau mau refund ngga bisa via apps aplikasinya sendiri ada bug,
1850594053513248949,Sun Oct 27 17:42:59 +0000 2024,861786195256160258,1850594053513248949,tinggal mau bayarnya aja time out muluu kaiaccess,
1850593334919938290,Sun Oct 27 17:40:08 +0000 2024,1962824269,1850593334919938290,ajggg emg kaiaccess tuh tolol bgt ajgg apk tai 00 40 msh blm bisa beli tiket tai pdhl pgn tdr cpt bgst,
1850228140033089566,Sat Oct 26 17:28:58 +0000 2024,1115175032366325761,1850228140033089566,war tiket kereta penataran dhoho kaiaccess jam terakhir menuju ke surabaya itu wes kaya war tiket komser so7 alias timeout terus,
1847804961968808276,Sun Oct 20 01:00:08 +0000 2024,1794318616487493632,1847804961968808276,hari masih pagi tapi harus mengatakan kaiaccess kontolllll,
1847283341210624478,Fri Oct 18 14:27:24 +0000 2024,3058826372,1847283341210624478,emang busuk layanan ginian sering pake fr dan hari ini masuk pasar senen dianya nyala tapi ngga berguna sama kaya minggu lalu di lempuyangan sampe antre panjang uda gitu pake e boarding di hape masih diminta ktp trus gunane aku install kaiaccess bwat opooo,
1846978723909980181,Thu Oct 17 18:16:57 +0000 2024,380840568,1846978723909980181,min usulan saya kapan hari malah tambah parah nih server kaiaccess pesan lgsg trk nt gak bisa estafet baru bisa itupun nunggu sejam ini mslhnya apa it system server biaya mtcnya ato org it nya jgn jawaban klasik lagi ya,
1846489571065999774,Wed Oct 16 09:53:14 +0000 2024,1257696665462398977,1846487535511306599,kl di app kaiaccess udh abis ya gaisa,
1846150650406854696,Tue Oct 15 11:26:29 +0000 2024,727648291,1846150650406854696,alhamdulillaah udh sukses bisa beli tiket jg dari tadi stuck di bagian pembayaran bolak balik menunya cuma ewallet dan udh terhubung tetapi stuck sama sekalo gak bisa bayar thank you perbaikan layanannya sukses selalu kaiaccess,
1846125295621099924,Tue Oct 15 09:45:44 +0000 2024,1605227811102302210,1846125295621099924,haloo min apakah aplikasi kaiaccess sedang maintenance saya drtd mau melakukan pembayaran tidak bisa,
1845153834295070779,Sat Oct 12 17:25:30 +0000 2024,1792922867086028800,1845153834295070779,kai access ini gimana sih udah cepet war tikettt udah klik kursinya juga tinggal bayar tapi pas klik kode qris nya malah ga keluar tulisannya timeout dan itu berkali kali jadi keabisan tiket kaiaccess kai,
1842348429336539277,Fri Oct 04 23:37:49 +0000 2024,870560932136599552,1842348429336539277,kaiaccess kenapa gini terus ya waktu mau reset pin,
1841160313162387606,Tue Oct 01 16:56:40 +0000 2024,42558739,1841160313162387606,min mau tanya kalo data orang tua saya sudah tercatatat di kaiaccess apakah bisa dapet potongan lansia kebetulan ortu saya sudah lansia atau harus didaftarkan manual,
1841082472961863811,Tue Oct 01 11:47:21 +0000 2024,1137403103525818369,1841082472961863811,inii pramu prami manaa dah gak lewat2 gue laper bgttt mau pesen lewat kaiaccess pasti lama,
1838851706114969839,Wed Sep 25 08:03:05 +0000 2024,2248542294,1838851706114969839,pengen ubah tgl perjalanan dr kaiaccess cm muter knp ya min,
1804089262142279770,Fri Jun 21 09:49:33 +0000 2024,1363671825452916747,1804089262142279770,kai access error hari ini juni 2024 tidak bisa dibuka sampai kapan ini penjelasan pihak kai mf kaiaccess error jadwal tiket kai,
1804070942479651199,Fri Jun 21 08:36:45 +0000 2024,710394355115286528,1803680716502262152,tau ada kereta api ini wkt lebaran idul adha kmrn saat nyampe di slo ada pengumuman kereta banyubiru ini sudah bersiap di jalur 4 lgsg cek di kaiaccess harga tiketny 40 eko dan 80 ekse dgn perjalanan selama 2jam mgkn aku akan pilih eko ng saja,
1804067937617354980,Fri Jun 21 08:24:48 +0000 2024,1287642738683342848,1804067937617354980,kai access error hari ini 21 juni 2024 sampai kapan kenapa tidak bisa pesan tiket ini kata railmin kaiaccess kaiaccesserror ptkai kai121,
1804007960160669993,Fri Jun 21 04:26:29 +0000 2024,1644205760879169537,1804007960160669993,admin kai kok pembatalan tiketku di kaiaccess lama bangeet diprosess yaaa apa harus ke loket stasiunnya langsung butuh bangeet buat beli tiket baruu,
1803726060313588025,Thu Jun 20 09:46:19 +0000 2024,159773397,1803726060313588025,minnn tiket perjalanan kereta saya kenapa tidak muncul ya di kaiaccess,
1803206653795537275,Tue Jun 18 23:22:22 +0000 2024,1731918078425157632,1803193087478604187,aku pernahnya di kaiaccess tapi itu h 3 jam keberangkatan ada diskonnya,
1802900197477068901,Tue Jun 18 03:04:38 +0000 2024,1339067955359801345,1802889036631326808,kan bisa pesen via kaiaccess,
1802218663145312635,Sun Jun 16 05:56:27 +0000 2024,944857613413498881,1802216692485095693,cara mendaftar mudah bisa langsung menemui petugas di stasiun dan mengaktifkan face recoginition ini melalui aplikasi kaiaccess,
1801760570657620391,Fri Jun 14 23:36:09 +0000 2024,1900430611,1801760570657620391,kaiaccess msh down kah yuuuukkk cepetan bnyk yg mau kerja mau mudik mau scan barcode udah di gate,
1801757720472916062,Fri Jun 14 23:24:50 +0000 2024,553437452,1801757720472916062,halo kai ini saya mau pesen tiket untuk hari ini dari bandung ke bekasi kok gabisa terus ya pdhl saya udh coba pake 3 apps traveloka tiketcom sama kaiaccess semuanya sama eror terus ini knp ya,
1801617737724416192,Fri Jun 14 14:08:35 +0000 2024,1780730857982160896,1801585879645045169,pesen railfood lewat kaiaccess harumkan gerbong pake popmie panas habis popmie bangunin semua yg tidur pake japota,
1799466536832541093,Sat Jun 08 15:40:29 +0000 2024,749277882,1799466536832541093,anjir cashback kaiaccess baru ada pas gue udah beli tiket,
1799255011689676859,Sat Jun 08 01:39:57 +0000 2024,785764405883482112,1799040569978835105,batara kresna ini tiketnya bisa beli via kaiaccess,
1799118466659885551,Fri Jun 07 16:37:23 +0000 2024,56321195,1799118466659885551,mending duitnya buat benerin kaiaccess,
1798726173041795525,Thu Jun 06 14:38:33 +0000 2024,1206522818118029313,1798726173041795525,ini kenapa ya top up ke kaiaccess niat buat bayar kereta jadi gabisa karena saldo malah berkurang 4rb kan aneh padahal top up nya udah bener nominalnya trus isi saldo lg 10rb ga masuk2 ini gimana solusinya malah mempersulit penumpang tolong dong tggung jwbnya,
1797848719460794445,Tue Jun 04 04:31:51 +0000 2024,1772499253199597568,1797779551478747408,kemaren liat di kaiaccess jadwal ka arjuno express buat tgl 11 masih ada kok skrg gada min,
1792764561537564826,Tue May 21 03:49:14 +0000 2024,1386726350984159232,1792739831103271250,pake prameks bisa nder tiketnya pake gotransit dari gojek aja atau pakai kereta bandara beli di kaiaccess dari stasiun tugu bisa ke halte tj sosrowijayan naik bus 1b udah turun di rektorat plaza atau bisa gojek grab juga sih,
1791880417987158407,Sat May 18 17:15:57 +0000 2024,1416319603580362752,1791878203604455746,kebiasaan kaiaccess kalo beli lokal rebutan akhirnya pas muncul tiba tiba sold,
1791575699402420521,Fri May 17 21:05:07 +0000 2024,115894864,1791421603588546953,kenapa akun kaiaccess tiba2 log out dan terkunci,
1790654294070628456,Wed May 15 08:03:47 +0000 2024,107412668,1790653630544245058,cc atau bisa cek dan beli tiketnya di app kaiaccess aja lebih gampang kak,
1790231270548820445,Tue May 14 04:02:50 +0000 2024,1696508257693741056,1790231270548820445,aplikasi kaiaccess lagi error ya kok jadwalnya gak muncul jadi gak bisa beli tiket online,
